order_id,customer_id,order_date,product_id,product_name,product_price,quantity
1001,C001,2024-01-15,PRD001,Smartphone,699.99,1
1002,C002,2024-01-16,PRD002,Laptop,1200.00,1
1003,C003,2024-01-17,PRD003,Tablet,450.50,2
1004,C001,2024-01-18,PRD004,Smartwatch,299.99,1
1005,C004,2024-01-19,PRD005,Headphones,150.00,3
1006,C002,2024-01-20,PRD006,Camera,799.99,1
1007,C003,2024-01-21,PRD007,Monitor,200.00,2
1008,C005,2024-01-22,PRD008,Keyboard,50.00,1
1009,C004,2024-01-23,PRD009,Mouse,25.00,2
1010,C001,2024-01-24,PRD010,Printer,175.99,1
